Company,Order_no,Quantity,Sales,Status,Product_line,City,Country,Deal_size,Order_date
"Land of Toys Inc.",10107,30,2871.00,Shipped,Motorcycles,NYC,USA,Small,2018-02-24
"Reims Collectables",10121,34,2765.90,Shipped,Motorcycles,Reims,France,Small,2018-05-07
"Lyon Souveniers",10134,41,3884.34,Shipped,Motorcycles,Paris,France,Medium,2018-07-01
Toys4GrownUps.com,10145,45,3746.70,Shipped,Motorcycles,Pasadena,USA,Medium,2018-08-25
"Technics Stores Inc.",10168,36,3479.76,Shipped,Motorcycles,Burlingame,USA,Medium,2018-10-28
"Daedalus Designs Imports",10180,29,2497.77,Shipped,Motorcycles,Lille,France,Small,2018-11-11
"Auto Canal Petit",10211,41,4708.44,Shipped,Motorcycles,Paris,France,Medium,2019-01-15
"Australian Collectors, Co.",10223,37,3965.66,Shipped,Motorcycles,Melbourne,Australia,Medium,2019-02-20
"Vitachrome Inc.",10237,23,2333.12,Shipped,Motorcycles,NYC,USA,Small,2019-04-05
"Tekni Collectables Inc.",10251,28,3188.64,Shipped,Motorcycles,Newark,USA,Medium,2019-05-18
"Gift Depot Inc.",10263,34,3676.76,Shipped,Motorcycles,Bridgewater,USA,Medium,2019-06-28
"La Rochelle Gifts",10275,45,4177.35,Shipped,Motorcycles,Nantes,France,Medium,2019-07-23
"Marta's Replicas Co.",10285,36,4099.68,Shipped,Motorcycles,Cambridge,USA,Medium,2019-08-27
"Toys of Finland, Co.",10299,23,2597.39,Shipped,Motorcycles,Helsinki,Finland,Small,2019-09-30
"Baane Mini Imports",10309,41,4394.38,Shipped,Motorcycles,Stavern,Norway,Medium,2019-10-15
"Diecast Classics Inc.",10318,46,4358.04,Shipped,Motorcycles,Allentown,USA,Medium,2019-11-02
"Land of Toys Inc.",10329,42,4396.14,Shipped,Motorcycles,NYC,USA,Medium,2019-11-15
"Salzburg Collectables",10341,41,7737.93,Shipped,Motorcycles,Salzburg,Austria,Large,2019-11-24
"Souveniers And Things Co.",10361,20,1451.00,Shipped,Motorcycles,Chatswood,Australia,Small,2019-12-17
"La Rochelle Gifts",10375,21,733.11,Shipped,Motorcycles,Nantes,France,Small,2020-02-03
FunGiftIdeas.com,10388,42,3207.12,Shipped,Motorcycles,"New Bedford",USA,Medium,2020-03-03
"Euro Shopping Channel",10417,66,7516.08,Disputed,Motorcycles,Madrid,Spain,Large,2020-05-13
"Baane Mini Imports",10103,26,5404.62,Shipped,"Classic Cars",Stavern,Norway,Medium,2018-01-29
"Corrida Auto Replicas, Ltd",10126,38,7329.06,Shipped,"Classic Cars",Madrid,Spain,Large,2018-05-28
"Technics Stores Inc.",10140,37,7374.10,Shipped,"Classic Cars",Burlingame,USA,Large,2018-07-24
"Dragon Souveniers, Ltd.",10150,45,10993.50,Shipped,"Classic Cars",Singapore,Singapore,Large,2018-09-19
"Classic Legends Inc.",10163,21,4860.24,Shipped,"Classic Cars",NYC,USA,Medium,2018-10-20
"Australian Gift Network, Co",10174,34,8014.82,Shipped,"Classic Cars","South Brisbane",Australia,Large,2018-11-06
"Classic Gift Ideas, Inc",10183,23,5372.57,Shipped,"Classic Cars",Philadelphia,USA,Medium,2018-11-13
"Saveley & Henriot, Co.",10194,42,7290.36,Shipped,"Classic Cars",Lyon,France,Large,2018-11-25
"West Coast Collectables Co.",10215,35,6075.30,Shipped,"Classic Cars",Burbank,USA,Medium,2019-01-29
"Cambridge Collectables Co.",10228,29,6463.23,Shipped,"Classic Cars",Cambridge,USA,Medium,2019-03-10
"Super Scale Inc.",10245,34,6120.34,Shipped,"Classic Cars","New Haven",USA,Medium,2019-05-04
"Souveniers And Things Co.",10270,21,4905.39,Shipped,"Classic Cars",Chatswood,Australia,Medium,2019-07-19
"Amica Models & Co.",10280,34,8014.82,Shipped,"Classic Cars",Torino,Italy,Large,2019-08-17
"Auto Assoc. & Cie.",10304,47,10172.70,Shipped,"Classic Cars",Versailles,France,Large,2019-10-11
"Mini Gifts Distributors Ltd.",10312,48,11623.70,Shipped,"Classic Cars","San Rafael",USA,Large,2019-10-21
"Online Diecast Creations Co.",10322,40,6000.40,Shipped,"Classic Cars",Nashua,USA,Medium,2019-11-04
"Australian Collectors, Co.",10347,30,3944.70,Shipped,"Classic Cars",Melbourne,Australia,Medium,2019-11-29
"Mini Gifts Distributors Ltd.",10357,32,5691.84,Shipped,"Classic Cars","San Rafael",USA,Medium,2019-12-10
"Collectables For Less Inc.",10369,41,4514.92,Shipped,"Classic Cars",Brickhaven,USA,Medium,2020-01-20
"Anna's Decorations, Ltd",10391,24,2416.56,Shipped,"Classic Cars","North Sydney",Australia,Small,2020-03-09
"Euro Shopping Channel",10424,50,12001.00,"In Process","Classic Cars",Madrid,Spain,Large,2020-05-31
"Land of Toys Inc.",10107,39,3896.49,Shipped,Motorcycles,NYC,USA,Medium,2018-02-24
"Australian Collectors, Co.",10120,29,2793.86,Shipped,Motorcycles,Melbourne,Australia,Small,2018-04-29
"Lyon Souveniers",10134,27,3307.77,Shipped,Motorcycles,Paris,France,Medium,2018-07-01
Toys4GrownUps.com,10145,37,5192.95,Shipped,Motorcycles,Pasadena,USA,Medium,2018-08-25
"Technics Stores Inc.",10168,27,3660.93,Shipped,Motorcycles,Burlingame,USA,Medium,2018-10-28
"Daedalus Designs Imports",10180,42,4695.60,Shipped,Motorcycles,Lille,France,Medium,2018-11-11
"Australian Collectors, Co.",10223,47,5422.39,Shipped,Motorcycles,Melbourne,Australia,Medium,2019-02-20
"Motor Mint Distributors Inc.",10236,22,2852.08,Shipped,Motorcycles,Philadelphia,USA,Small,2019-04-03
"Tekni Collectables Inc.",10251,44,5756.52,Shipped,Motorcycles,Newark,USA,Medium,2019-05-18
